gender,tenure,service_1,service_2,tariff,expencies,RESULT
M,72,No,No,POST,60.95,No
M,66,Yes,No,POST,20.35,No
F,18,Yes,Yes,PRE,88.35,Yes
F,9,Yes,No,PRE,19.5,No
F,9,Yes,Yes,PRE,75.2,No
M,48,Yes,Yes,PRE,111.45,No
M,10,Yes,No,PRE,70.15,No
F,9,Yes,Yes,PRE,94.75,Yes
F,13,Yes,Yes,PRE,95.05,Yes
M,4,Yes,Yes,PRE,78.45,Yes
M,4,Yes,No,PRE,70.2,Yes
F,72,Yes,Yes,POST,92,No
F,51,Yes,No,POST,85.5,No
M,59,No,No,PRE,41.05,Yes
M,10,Yes,Yes,PRE,85.6,Yes
M,61,Yes,Yes,PRE,82.15,No
M,54,Yes,No,POST,84.4,No
F,33,Yes,Yes,PRE,60.9,No
F,27,Yes,No,POST,20.25,No
F,1,Yes,No,PRE,79.2,Yes
M,23,Yes,No,PRE,95.3,No
M,1,Yes,No,PRE,19.85,No
M,45,Yes,No,POST,84.35,No
F,39,Yes,No,POST,19.85,No
M,5,Yes,No,POST,70,Yes
M,72,Yes,Yes,POST,82.3,No
F,58,Yes,Yes,PRE,66.8,No
F,70,No,No,POST,44.6,No
M,61,Yes,No,POST,98.45,No
M,2,Yes,No,PRE,70.7,No
F,46,Yes,Yes,POST,24.95,No
F,1,Yes,Yes,PRE,49.95,Yes
F,22,Yes,No,PRE,69.25,Yes
F,48,Yes,No,POST,102.5,No
M,64,Yes,Yes,POST,86.55,No
M,72,Yes,Yes,POST,24.3,No
F,12,Yes,No,PRE,58.35,No
F,34,Yes,Yes,PRE,94.25,Yes
F,72,Yes,No,POST,68.75,No
M,29,Yes,Yes,PRE,85.8,No
M,33,Yes,No,POST,20.1,No
F,1,Yes,No,PRE,20.35,No
F,62,Yes,Yes,POST,110.8,No
M,41,Yes,Yes,POST,73,Yes
F,64,Yes,Yes,POST,100.05,Yes
F,4,Yes,No,PRE,82.85,No
F,24,Yes,Yes,PRE,84.35,No
F,14,Yes,No,POST,19.55,No
M,3,Yes,No,PRE,19.95,No
F,4,Yes,No,PRE,99.8,Yes
F,18,No,No,PRE,35,Yes
M,8,Yes,No,PRE,66.25,No
F,35,Yes,Yes,POST,23.3,No
F,1,Yes,Yes,PRE,76,Yes
M,66,Yes,Yes,POST,25.3,No
M,8,No,No,POST,44.55,No
F,71,Yes,Yes,POST,104.1,No
F,43,Yes,Yes,PRE,92.55,No
F,2,Yes,Yes,PRE,93.85,Yes
M,29,Yes,No,PRE,101.45,No
F,15,Yes,No,PRE,84.3,Yes
M,65,Yes,Yes,POST,94.55,No
M,35,Yes,Yes,PRE,95.5,No
M,64,Yes,No,POST,100.3,No
F,58,No,No,POST,55.5,No
F,18,Yes,No,PRE,49.85,No
M,67,Yes,Yes,PRE,89.55,No
M,63,Yes,No,POST,19.15,No
F,60,Yes,Yes,PRE,99.8,No
M,9,Yes,Yes,PRE,84.4,Yes
F,70,Yes,Yes,POST,113.05,No
M,15,Yes,Yes,PRE,101.1,Yes
F,48,Yes,No,POST,19.95,No
M,12,Yes,No,PRE,74.15,No
M,71,Yes,Yes,POST,92,No
M,44,Yes,No,PRE,73.85,No
M,1,Yes,Yes,PRE,50.45,Yes
M,45,Yes,Yes,POST,24.45,No
F,23,Yes,Yes,POST,24.8,No
F,43,Yes,Yes,POST,64.85,No
M,35,Yes,No,PRE,20.75,No
M,9,Yes,No,PRE,68.95,No
M,12,Yes,Yes,PRE,99.95,Yes
F,65,Yes,Yes,PRE,109.4,No
F,2,Yes,Yes,PRE,91.4,Yes
M,27,Yes,Yes,PRE,49,No
F,40,Yes,No,POST,50.25,No
F,5,Yes,No,PRE,75.55,Yes
M,8,Yes,No,POST,19.9,No
F,58,Yes,Yes,POST,97.8,No
F,52,Yes,No,POST,100.3,No
M,3,Yes,No,PRE,55.8,No
M,41,Yes,No,POST,111.15,No
M,20,Yes,Yes,PRE,98.55,No
M,1,Yes,Yes,PRE,50.05,No
M,4,Yes,Yes,PRE,80.8,Yes
M,23,Yes,No,PRE,20.85,No
F,6,Yes,No,PRE,19.5,No
M,8,Yes,No,PRE,19.35,No
M,18,Yes,Yes,PRE,69.5,No
M,52,No,No,PRE,48.8,No
M,31,Yes,No,PRE,94.5,No
M,29,Yes,No,PRE,20.65,No
F,36,Yes,Yes,POST,106.05,No
F,16,Yes,Yes,PRE,100,Yes
M,42,Yes,Yes,POST,108.3,No
M,1,Yes,No,PRE,20.55,Yes
F,60,Yes,No,POST,99.65,No
M,5,Yes,Yes,PRE,85.3,Yes
M,22,Yes,Yes,PRE,95.9,No
M,36,Yes,No,POST,20,No
F,4,Yes,No,PRE,70.4,Yes
M,9,Yes,No,PRE,64.95,No
M,1,Yes,No,PRE,74.6,No
M,12,Yes,No,PRE,49.2,No
F,23,Yes,Yes,POST,73.75,No
M,62,Yes,Yes,POST,92.3,No
M,37,Yes,Yes,PRE,98.8,Yes
F,8,Yes,No,PRE,19.2,No
M,31,Yes,Yes,PRE,88.65,No
M,13,Yes,Yes,PRE,74.4,Yes
F,24,Yes,Yes,PRE,98.75,Yes
M,45,Yes,Yes,PRE,95.95,No
F,69,Yes,Yes,POST,105.4,No
M,2,Yes,No,PRE,20.25,No
M,61,Yes,Yes,POST,106,Yes
M,41,Yes,Yes,PRE,104.7,Yes
F,44,No,No,POST,49.05,No
M,39,No,No,POST,35.55,No
M,72,No,No,POST,65.1,No
F,13,Yes,No,PRE,96.85,No
F,51,Yes,No,POST,69.75,No
F,71,Yes,No,POST,99.2,No
M,22,Yes,Yes,PRE,96.7,Yes
F,2,Yes,No,PRE,55.05,Yes
F,56,Yes,Yes,POST,106.8,No
M,1,Yes,No,PRE,51.25,No
F,23,Yes,No,POST,57.75,No
F,66,Yes,Yes,POST,70.85,No
F,1,Yes,No,PRE,19.55,No
M,19,Yes,Yes,PRE,88.2,Yes
M,11,Yes,No,PRE,79.5,No
F,8,Yes,No,POST,19.75,Yes
F,52,Yes,Yes,PRE,98.15,No
M,3,Yes,No,PRE,20.25,No
F,51,Yes,No,PRE,79.15,No
M,15,Yes,Yes,PRE,75.65,Yes
M,64,Yes,Yes,PRE,94.25,No
F,37,No,No,PRE,40.2,No
M,13,Yes,No,POST,19.95,No
M,49,Yes,Yes,POST,55.35,No
F,45,Yes,Yes,POST,102.15,No
F,18,Yes,No,PRE,71.1,No
M,1,Yes,Yes,PRE,74.7,Yes
M,68,No,No,POST,54.1,No
M,54,Yes,No,POST,19.65,No
F,23,Yes,No,PRE,88.45,No
M,17,Yes,No,PRE,76.65,Yes
M,71,Yes,Yes,POST,80.4,No
F,67,Yes,No,POST,19.25,No
F,14,Yes,Yes,PRE,84.8,No
F,1,No,No,PRE,25.8,Yes
F,63,Yes,No,POST,19.5,No
F,41,Yes,Yes,POST,68.6,No
F,17,Yes,Yes,PRE,92.6,No
M,56,Yes,Yes,POST,100.55,No
F,5,Yes,No,PRE,20.55,No
F,2,No,No,PRE,42.6,Yes
F,3,Yes,No,PRE,19.6,No
M,37,Yes,Yes,POST,67.45,No
F,29,Yes,No,PRE,68.85,Yes
M,8,Yes,No,PRE,43.55,No
F,63,Yes,Yes,PRE,109.85,No
F,7,Yes,No,PRE,20.65,No
F,3,Yes,No,PRE,95.4,No
M,72,Yes,No,POST,21,No
F,19,Yes,No,PRE,56.2,No
F,59,Yes,No,POST,18.4,No
M,2,Yes,No,PRE,90,Yes
F,35,Yes,Yes,PRE,25.75,No
M,14,Yes,No,PRE,19.6,No
F,14,Yes,No,PRE,75.35,Yes
F,69,Yes,No,POST,19.8,No
M,7,Yes,Yes,PRE,64.2,No
M,69,Yes,No,POST,75.75,No
F,72,Yes,Yes,POST,78.95,No
M,8,Yes,Yes,PRE,100.85,Yes
F,4,Yes,No,PRE,50.3,No
M,63,Yes,No,PRE,80.3,No
M,72,Yes,No,POST,19.85,No
F,46,Yes,No,POST,21.1,No
F,5,Yes,No,PRE,69.95,Yes
M,30,Yes,No,PRE,50,No
M,63,Yes,Yes,POST,104.75,No
F,60,Yes,No,POST,19.85,No
F,63,Yes,Yes,POST,107.5,Yes
M,25,Yes,No,PRE,85.9,No
M,1,Yes,No,PRE,45.85,Yes
M,6,Yes,Yes,PRE,80.8,No
M,22,Yes,Yes,POST,25.25,No
F,31,Yes,Yes,POST,80.55,No
F,39,Yes,No,PRE,81.5,No
M,26,Yes,No,PRE,20.9,No
F,53,Yes,No,POST,106.1,Yes
F,1,Yes,No,PRE,91.7,Yes
M,12,Yes,Yes,PRE,67.25,No
F,16,Yes,Yes,PRE,95.6,Yes
F,2,Yes,No,PRE,20.35,No
M,39,No,No,POST,45.05,No
M,1,Yes,Yes,PRE,74.95,Yes
F,7,No,No,PRE,34.65,No
M,4,Yes,No,PRE,69.35,No
M,10,Yes,Yes,PRE,95.35,Yes
F,55,Yes,No,PRE,81.55,No
M,72,Yes,No,POST,75.4,No
F,10,Yes,No,PRE,67.8,No
M,11,Yes,Yes,PRE,111.4,No
F,15,Yes,No,PRE,46.3,No
F,23,Yes,No,POST,20.4,No
M,1,Yes,No,PRE,20.05,No
F,3,Yes,No,PRE,45,Yes
M,47,Yes,No,POST,96.1,No
F,15,Yes,No,POST,19.65,No
M,66,Yes,No,PRE,99.5,Yes
F,68,Yes,No,POST,60.65,No
F,17,Yes,No,POST,98.6,Yes
F,7,Yes,No,PRE,59.5,Yes
M,12,Yes,No,PRE,80.45,Yes
F,21,Yes,Yes,POST,71.7,No
M,21,No,No,PRE,36,No
F,56,Yes,Yes,POST,65.2,No
F,6,Yes,Yes,PRE,48.95,No
F,65,No,No,POST,53.5,No
M,42,Yes,Yes,POST,80.45,No
F,68,Yes,Yes,POST,109.05,No
M,48,Yes,Yes,POST,26.3,No
F,50,Yes,Yes,POST,106.8,No
F,7,Yes,No,PRE,64.95,No
F,63,Yes,No,POST,19.35,No
M,17,Yes,No,PRE,21.1,No
F,42,Yes,No,PRE,77.95,Yes
M,4,Yes,No,PRE,18.85,No
F,62,Yes,Yes,POST,26,No
M,2,Yes,No,PRE,74.7,Yes
F,2,Yes,No,PRE,70.35,No
M,48,Yes,Yes,POST,96.9,No
M,27,Yes,No,POST,19.55,No
F,70,Yes,No,POST,80.4,No
M,1,Yes,Yes,PRE,88.8,Yes
M,46,Yes,Yes,POST,94.65,No
M,30,Yes,No,PRE,90.25,Yes
F,15,Yes,Yes,PRE,64.65,Yes
M,69,Yes,Yes,POST,95.75,No
M,65,Yes,No,POST,19.55,No
M,72,Yes,No,POST,104.1,No
M,13,Yes,No,PRE,89.05,Yes
M,17,Yes,No,POST,20.1,No
M,51,Yes,Yes,POST,111.55,No
M,51,Yes,No,POST,60.5,No
F,72,Yes,Yes,POST,90.95,No
M,67,Yes,Yes,POST,87.4,Yes
M,34,Yes,No,PRE,19.7,No
M,67,No,No,POST,50.95,No
F,49,Yes,No,POST,20.05,No
M,53,Yes,No,POST,19.4,No
M,27,Yes,Yes,PRE,59.45,No
F,23,Yes,No,PRE,94.75,Yes
M,69,Yes,Yes,POST,81.5,No
F,2,No,No,PRE,29.05,No
F,35,Yes,Yes,PRE,86.45,Yes
F,46,Yes,No,POST,70.6,No
F,54,Yes,Yes,POST,97.2,No
F,56,Yes,Yes,POST,98.25,Yes
F,9,Yes,No,PRE,75.75,Yes
M,20,Yes,Yes,PRE,59.2,No
M,11,Yes,No,PRE,75.9,No
F,30,Yes,Yes,PRE,90.05,No
M,68,Yes,No,POST,70.95,No
M,38,Yes,Yes,PRE,102.6,No
F,17,Yes,Yes,PRE,85.35,Yes
M,48,Yes,Yes,POST,106.1,Yes
F,1,Yes,No,PRE,43.8,No
M,63,No,No,POST,59,No
F,3,Yes,No,POST,69.95,No
F,48,Yes,Yes,POST,24.35,No
M,66,No,No,POST,29.45,No
F,68,Yes,Yes,POST,84.4,No
M,17,Yes,No,PRE,45.05,Yes
F,7,Yes,No,POST,20.65,No
M,72,Yes,Yes,POST,87.1,No
F,29,Yes,No,PRE,19.85,No
M,37,Yes,No,PRE,90.35,No
F,34,Yes,Yes,PRE,109.8,Yes
F,42,Yes,Yes,PRE,84.65,Yes
F,59,Yes,Yes,POST,65.5,No
M,11,Yes,No,PRE,79.5,Yes
M,60,Yes,Yes,PRE,80.95,No
F,27,Yes,No,PRE,56.15,No
F,1,Yes,Yes,PRE,85.8,Yes
M,1,Yes,No,PRE,79.1,Yes
M,17,No,No,PRE,34.4,No
M,58,Yes,No,POST,20.75,No
M,1,Yes,No,POST,18.8,No
F,3,Yes,No,PRE,44.3,Yes
F,53,Yes,Yes,PRE,90.8,No
M,35,Yes,Yes,PRE,25.6,No
M,50,Yes,Yes,PRE,105.95,Yes
M,68,Yes,Yes,POST,70.8,No
M,47,Yes,Yes,PRE,25.4,No
F,65,Yes,Yes,PRE,108.8,No
M,5,Yes,No,PRE,69.75,Yes
M,51,Yes,Yes,PRE,94.65,Yes
F,46,Yes,Yes,PRE,96.05,Yes
F,9,Yes,Yes,PRE,76.85,No
F,8,Yes,No,POST,20.25,No
M,14,Yes,Yes,POST,24.8,No
F,45,Yes,Yes,PRE,115.65,No
F,8,Yes,Yes,PRE,74.6,No
M,1,Yes,No,PRE,50.15,Yes
M,66,Yes,No,POST,103.15,No
M,72,Yes,Yes,POST,72.1,No
F,41,Yes,Yes,PRE,113.6,Yes
F,23,Yes,Yes,POST,25.1,No
F,29,Yes,No,PRE,78.9,Yes
F,4,Yes,Yes,PRE,80.15,No
M,6,Yes,Yes,POST,25.4,No
F,67,Yes,Yes,POST,105.4,No
M,7,Yes,No,PRE,45.75,No
M,56,Yes,Yes,POST,24.45,No
F,72,Yes,Yes,POST,25,No
M,72,Yes,Yes,POST,85.25,No
M,23,Yes,No,POST,19.6,No
F,35,Yes,Yes,PRE,50.15,No
M,27,Yes,No,PRE,70.55,No
F,26,Yes,Yes,PRE,60.05,Yes
M,12,Yes,Yes,POST,26.4,No
F,40,Yes,No,POST,20.15,No
M,7,No,No,PRE,58.85,No
M,70,Yes,Yes,PRE,97.55,No
M,60,Yes,No,POST,19.65,No
M,39,No,No,POST,25.25,No
M,72,Yes,Yes,POST,114.45,No
F,1,No,No,PRE,34.7,Yes
M,54,Yes,Yes,POST,70.7,No
M,3,Yes,Yes,PRE,85.3,Yes
F,63,Yes,No,POST,75.55,No
M,71,Yes,Yes,POST,84.8,No
F,42,Yes,No,POST,20.65,No
M,47,Yes,No,POST,20.45,No
F,66,Yes,Yes,POST,102.45,Yes
F,21,Yes,Yes,PRE,104.4,Yes
M,11,No,No,PRE,35.65,No
M,1,Yes,Yes,PRE,99.75,Yes
F,55,Yes,Yes,PRE,90.45,No
M,69,Yes,Yes,POST,97.65,No
F,3,Yes,No,PRE,73.85,No
M,4,Yes,No,PRE,74.4,Yes
M,30,Yes,Yes,POST,69.1,No
F,5,Yes,Yes,PRE,82.75,No
F,71,Yes,Yes,POST,24.4,No
F,29,Yes,Yes,POST,55.25,No
M,52,Yes,Yes,PRE,61.35,No
M,68,Yes,Yes,POST,76.75,No
F,46,Yes,No,POST,19.4,No
M,8,Yes,No,PRE,54.75,No
M,72,Yes,No,POST,19.7,No
F,17,Yes,No,POST,19.9,No
M,3,Yes,No,PRE,107.95,No
F,2,Yes,No,PRE,83.8,No
F,9,Yes,No,PRE,74.25,Yes
F,51,No,No,POST,56.4,No
F,6,Yes,No,POST,20.1,No
F,3,Yes,Yes,PRE,94.9,No
F,17,Yes,Yes,PRE,94.2,No
M,30,Yes,Yes,PRE,49.9,No
M,31,Yes,Yes,PRE,71.05,No
F,45,Yes,No,POST,81.65,No
M,64,Yes,Yes,POST,89.45,No
M,1,Yes,Yes,PRE,59.85,Yes
F,1,Yes,No,PRE,69.6,Yes
M,61,Yes,Yes,POST,99,No
M,1,Yes,No,PRE,19.05,No
M,9,No,No,PRE,45.4,Yes
M,72,Yes,Yes,POST,114.45,No
F,1,Yes,No,PRE,19.5,Yes
F,7,Yes,No,PRE,44.25,No
F,66,Yes,Yes,POST,90.55,No
M,1,Yes,No,PRE,69.9,Yes
M,40,Yes,No,PRE,20.4,No
M,16,Yes,Yes,PRE,71.4,No
F,2,Yes,No,PRE,87.15,Yes
M,67,Yes,Yes,POST,24.85,No
F,41,Yes,No,POST,104.45,No
F,56,Yes,No,POST,19.8,No
F,72,Yes,Yes,POST,116.45,No
F,3,Yes,Yes,PRE,84.75,Yes
F,54,Yes,No,POST,20.05,No
M,52,Yes,Yes,PRE,110.75,No
F,50,Yes,No,POST,89.7,No
M,14,Yes,Yes,PRE,89.95,Yes
M,27,Yes,No,POST,48.7,No
F,72,Yes,Yes,POST,96.6,No
M,62,Yes,No,POST,74.3,No
F,12,Yes,No,PRE,54.3,No
F,44,Yes,No,POST,74.85,No
M,54,Yes,No,POST,79.95,No
F,68,Yes,No,POST,20.05,No
M,20,Yes,No,PRE,19.4,No
M,50,Yes,Yes,POST,54.9,No
M,58,Yes,Yes,POST,24.45,No
M,35,Yes,Yes,PRE,89.65,No
F,2,Yes,No,PRE,45.4,No
M,63,Yes,Yes,POST,75.7,No
F,58,Yes,Yes,POST,110.65,No
F,27,Yes,No,POST,20.55,No
F,71,Yes,Yes,POST,115.15,No
F,63,Yes,No,POST,58.55,No
M,71,Yes,Yes,PRE,93.25,No
F,41,Yes,Yes,PRE,113.2,Yes
M,13,Yes,No,PRE,90.5,Yes
M,2,Yes,No,PRE,79,Yes
F,68,Yes,No,POST,19.35,No
M,1,Yes,No,PRE,48.75,No
M,65,Yes,Yes,POST,109.05,No
M,72,Yes,Yes,POST,25,No
F,28,Yes,Yes,PRE,54.9,No
M,72,Yes,Yes,POST,24.75,No
F,2,Yes,No,PRE,91.15,No
F,18,Yes,No,POST,20.15,Yes
M,60,Yes,Yes,POST,104.35,No
F,26,Yes,Yes,PRE,66.05,No
M,1,Yes,No,PRE,71.65,Yes
F,4,Yes,No,PRE,20.35,Yes
M,68,Yes,Yes,POST,92.2,No
F,38,Yes,No,PRE,84.25,Yes
F,42,Yes,Yes,POST,105.2,No
F,57,Yes,No,POST,19.6,No
M,54,No,No,PRE,30.4,No
F,12,Yes,No,PRE,78.1,Yes
F,44,Yes,No,POST,61.5,No
M,42,Yes,Yes,PRE,69.4,No
M,72,Yes,Yes,POST,24.75,No
F,71,Yes,Yes,POST,91.05,No
F,19,Yes,Yes,PRE,89.65,Yes
F,23,Yes,Yes,PRE,73.65,No
F,30,Yes,No,POST,19.4,No
M,35,Yes,Yes,POST,26.2,No
F,10,Yes,Yes,PRE,98.7,Yes
M,1,Yes,No,PRE,43.85,No
M,22,Yes,No,PRE,69.7,No
M,7,No,No,POST,38.55,No
F,36,No,No,POST,53.1,No
F,34,Yes,No,PRE,20.65,No
M,72,Yes,Yes,POST,64.45,No
M,36,Yes,Yes,POST,25.1,No
F,1,Yes,No,PRE,76.35,Yes
F,23,Yes,Yes,PRE,79.15,Yes
M,32,Yes,Yes,PRE,85,Yes
F,71,Yes,Yes,POST,95.15,No
F,23,Yes,Yes,PRE,79.35,No
M,17,Yes,No,POST,96.65,No
M,1,Yes,No,PRE,75.5,No
M,12,Yes,No,POST,19.7,No
F,72,Yes,No,POST,20.5,No
M,1,Yes,No,PRE,19.2,No
M,72,Yes,Yes,POST,98.35,No
M,60,Yes,Yes,PRE,74.35,No
F,61,No,No,POST,51.35,No
F,6,Yes,No,PRE,45.65,No
M,32,Yes,Yes,PRE,85.3,Yes
F,31,Yes,Yes,PRE,86.55,Yes
M,19,Yes,No,PRE,73.85,Yes
M,72,Yes,No,POST,20.3,No
F,32,Yes,Yes,PRE,54.2,No
M,65,Yes,Yes,PRE,90.65,No
F,45,No,No,PRE,50.9,No
M,42,Yes,Yes,POST,25.05,No
M,8,Yes,Yes,PRE,74.85,No
M,32,Yes,No,POST,20.5,No
F,22,Yes,Yes,PRE,63.55,No
M,57,No,No,PRE,44.85,Yes
M,1,Yes,No,PRE,47.95,No
M,1,Yes,No,PRE,45.1,Yes
F,1,Yes,No,PRE,45,No
M,24,Yes,No,PRE,96,Yes
M,1,Yes,No,PRE,20.05,Yes
M,54,Yes,Yes,PRE,90.05,No
F,4,Yes,Yes,POST,25.3,No
M,65,Yes,Yes,POST,108.65,Yes
F,56,Yes,Yes,POST,24.3,No
M,45,Yes,No,PRE,75.95,No
F,71,Yes,No,POST,19.7,No
M,59,Yes,No,POST,66.4,No
M,69,No,No,POST,35.75,No
M,19,Yes,No,POST,18.8,No
F,55,Yes,No,POST,19.4,No
F,38,Yes,No,POST,19.3,No
M,10,Yes,No,PRE,45.55,Yes
F,47,Yes,Yes,PRE,67.45,No
F,2,No,No,PRE,35.1,Yes
M,1,Yes,No,PRE,46.2,Yes
F,1,Yes,No,PRE,45.15,Yes
M,1,No,No,PRE,43.3,Yes
M,46,Yes,No,POST,20.1,No
F,38,Yes,No,PRE,57.15,Yes
F,65,Yes,No,POST,58.9,No
F,19,Yes,No,PRE,73.2,Yes
M,52,Yes,No,PRE,85.35,Yes
M,71,Yes,No,POST,19.45,No
F,1,Yes,No,PRE,45.95,Yes
F,52,No,No,PRE,50.5,No
M,6,Yes,Yes,POST,25.1,No
F,26,Yes,No,POST,60.7,No
M,48,Yes,Yes,POST,99,No
F,64,Yes,Yes,POST,104.4,No
F,3,Yes,No,PRE,83.75,Yes
M,1,Yes,No,PRE,44.05,No
M,72,Yes,Yes,POST,24.1,No
M,1,Yes,No,PRE,45.55,No
F,51,Yes,Yes,PRE,93.8,No
F,41,Yes,No,POST,19.7,No
F,72,Yes,No,POST,70.65,No
F,43,Yes,Yes,POST,86.45,No
M,72,Yes,Yes,POST,114.1,No
M,47,Yes,Yes,POST,95.2,No
M,72,Yes,Yes,POST,88.55,No
M,3,Yes,No,PRE,20.75,No
M,1,Yes,No,PRE,70.05,Yes
M,2,Yes,Yes,PRE,86,Yes
M,26,No,No,PRE,44.65,No
M,29,Yes,No,PRE,60.2,No
F,35,Yes,Yes,PRE,100.5,Yes
M,27,Yes,No,POST,55.45,No
M,24,Yes,No,PRE,70.3,No
M,67,Yes,No,POST,60.4,No
F,16,Yes,Yes,PRE,72.65,Yes
F,23,Yes,No,POST,55.8,No
M,14,No,No,PRE,31.1,No
F,1,Yes,No,PRE,21,Yes
F,1,Yes,No,PRE,45.1,Yes
M,4,No,No,PRE,50.95,No
M,16,Yes,Yes,PRE,69.1,No
F,46,No,No,PRE,43.95,No
M,68,Yes,Yes,POST,86.5,No
M,38,Yes,Yes,PRE,69.95,No
M,30,Yes,No,PRE,50.4,Yes
F,5,Yes,No,PRE,78.95,Yes
M,17,Yes,No,PRE,90.95,No
M,4,Yes,No,POST,19.9,No
F,12,Yes,No,POST,20.15,No
M,72,Yes,Yes,POST,90.6,No
M,3,Yes,No,PRE,92,No
M,56,Yes,Yes,PRE,94.45,Yes
F,41,Yes,Yes,POST,24.85,No
M,40,No,No,POST,36,No
F,7,Yes,No,PRE,78.5,No
M,69,Yes,No,POST,19.95,No
M,7,Yes,No,POST,20.65,No
F,5,No,No,PRE,30.5,No
F,72,Yes,Yes,POST,106.1,No
M,44,Yes,No,POST,20.5,No
F,65,Yes,Yes,POST,95.5,No
F,3,Yes,Yes,PRE,64.6,No
M,24,Yes,No,PRE,51.1,No
F,44,Yes,Yes,PRE,84.8,Yes
F,72,Yes,Yes,POST,89.1,No
M,24,Yes,No,PRE,54.95,No
M,1,Yes,No,PRE,50.9,Yes
M,22,Yes,No,PRE,20.45,No
M,70,Yes,Yes,POST,85.95,No
M,25,Yes,Yes,PRE,60.35,No
M,37,Yes,No,POST,19.8,No
F,22,Yes,Yes,PRE,85.35,No
F,59,Yes,Yes,POST,72.1,No
M,49,Yes,Yes,PRE,99.8,Yes
M,47,Yes,Yes,PRE,107.35,Yes
F,31,Yes,No,PRE,19.55,Yes
M,1,Yes,No,PRE,81.05,No
M,3,Yes,No,PRE,20.5,No
F,53,Yes,Yes,POST,111.8,No
M,1,Yes,No,PRE,20.2,No
M,20,Yes,No,POST,19.7,No
F,3,Yes,No,PRE,79.1,Yes
F,51,Yes,No,POST,19.85,No
F,51,Yes,No,POST,60.5,No
F,13,Yes,No,POST,19.55,No
F,1,Yes,No,PRE,20.9,No
M,1,Yes,No,PRE,21.05,No
M,63,Yes,Yes,POST,71.5,No
M,3,Yes,No,PRE,54.65,No
M,46,Yes,No,POST,19.2,No
M,1,Yes,Yes,PRE,49.8,No
M,8,No,No,PRE,25.5,Yes
F,71,Yes,No,POST,20.5,No
M,55,Yes,Yes,PRE,90.4,No
F,70,Yes,Yes,POST,90.25,No
F,2,Yes,No,PRE,80.75,Yes
M,67,Yes,Yes,POST,104.6,No
M,65,Yes,Yes,PRE,91.85,Yes
M,14,Yes,No,PRE,50.2,No
F,20,Yes,Yes,PRE,95.5,No
M,1,Yes,No,PRE,75.35,Yes
M,1,Yes,Yes,PRE,75.45,Yes
F,49,Yes,Yes,PRE,95.4,No
F,72,Yes,Yes,POST,101.3,No
F,46,Yes,Yes,PRE,53.1,No
M,24,Yes,Yes,PRE,84.85,No
F,5,No,No,PRE,34.25,No
F,33,Yes,Yes,PRE,88.6,No
F,42,Yes,Yes,POST,60.15,No
M,23,Yes,No,POST,99.95,No
M,8,Yes,No,PRE,70.7,No
M,66,Yes,No,POST,54.8,No
M,24,Yes,No,PRE,49.55,Yes
M,24,Yes,Yes,PRE,54.8,No
M,69,Yes,Yes,POST,78.6,Yes
F,53,Yes,No,POST,100.3,No
F,60,No,No,POST,53.6,No
F,7,Yes,No,PRE,81.1,Yes
F,20,Yes,No,POST,19.35,No
F,23,Yes,Yes,PRE,85.6,No
M,72,Yes,No,POST,80.8,No
M,11,Yes,Yes,PRE,74.95,Yes
M,21,Yes,No,POST,19.6,No
M,1,Yes,Yes,PRE,93.55,Yes
M,31,Yes,Yes,PRE,90.7,No
F,57,Yes,No,POST,69.75,No
F,45,Yes,No,POST,20,No
M,10,Yes,Yes,PRE,95.25,No
F,58,Yes,Yes,PRE,102.1,Yes
M,14,Yes,No,PRE,19.95,No
M,27,Yes,Yes,POST,80.85,No
F,14,Yes,Yes,PRE,90.9,Yes
F,12,No,No,PRE,29.2,Yes
F,69,Yes,Yes,POST,93.3,No
F,25,Yes,No,PRE,89.15,Yes
M,58,Yes,Yes,POST,108.85,Yes
F,35,No,No,POST,46.35,No
F,16,Yes,Yes,PRE,84.75,Yes
M,45,Yes,Yes,POST,78.75,No
F,17,Yes,No,PRE,83.55,No
F,1,Yes,No,PRE,45.7,Yes
M,22,Yes,No,POST,19.6,No
F,1,Yes,No,PRE,69.95,Yes
M,67,Yes,No,POST,67.85,No
F,67,Yes,Yes,POST,105.65,No
F,2,No,No,PRE,44.6,Yes
M,23,Yes,Yes,PRE,74.95,Yes
F,9,Yes,No,PRE,75.5,No
F,5,Yes,No,PRE,20.15,No
M,54,No,No,POST,45.2,No
F,57,Yes,No,POST,95.25,Yes
M,24,Yes,Yes,PRE,89.85,Yes
F,49,Yes,Yes,POST,100.45,Yes
M,5,Yes,Yes,PRE,47.15,Yes
M,2,Yes,No,PRE,80.2,Yes
F,4,Yes,Yes,PRE,87.1,Yes
M,70,Yes,Yes,POST,79.25,No
M,5,Yes,Yes,PRE,75.9,Yes
M,53,Yes,Yes,PRE,85.7,No
F,47,Yes,Yes,PRE,98.75,Yes
F,31,Yes,No,POST,20.1,No
M,13,Yes,No,PRE,61.8,No
F,28,Yes,Yes,PRE,49.9,No
F,10,Yes,Yes,PRE,86.45,Yes
M,38,Yes,No,POST,20.4,No
F,1,Yes,No,PRE,45.3,Yes
M,67,Yes,Yes,POST,104.1,Yes
M,52,Yes,No,POST,75.4,No
M,62,Yes,No,POST,108.15,No
F,16,Yes,No,PRE,86.25,No
F,5,Yes,Yes,PRE,81,Yes
M,12,Yes,No,POST,95.7,No
